node_id,node_index
+420 738 61659,0
+420 724 26714,1
+420 608 44763,2
+420 739 61071,3
+420 737 52256,4
+420 736 98828,5
+420 702 90329,6
+420 728 47325,7
+421 902 19046,8
+420 606 32873,9
+420 727 90046,10
+420 727 44358,11
+420 778 28561,12
+420 602 30741,13
+420 736 88221,14
+420 770 58644,15
+420 776 23865,16
+420 602 75346,17
+420 730 90272,18
+420 725 87219,19
+420 670 94488,20
+420 650 52815,21
+420 699 31024,22
+420 680 71230,23
+420 660 91617,24
+420 660 51221,25
+420 722 27323,26
+420 728 28452,27
+421 908 52591,28
+420 774 96067,29
+420 724 20625,30
+420 726 14522,31
+420 602 64818,32
+420 798 92421,33
+420 606 20626,34
+420 726 90366,35
+420 785 15361,36
+420 769 54489,37
+420 727 56086,38
+420 771 23562,39
+420 694 67809,40
+420 753 82245,41
+420 607 76146,42
+420 772 89564,43
+420 773 11486,44
+420 608 17213,45
+420 784 57162,46
+420 665 35232,47
+420 676 48540,48
+49 176 0406 9001,49
+43 664 24 4850,50
+49 176 0406 9014,51
+49 89 9999 8337,52
+49 176 0406 9091,53
+49 176 0406 9033,54
+420 704 98967,55
+420 733 43613,56
+385 99 669 050,57
+420 704 98968,58
+49 152 2881 7386,59
+49 176 0406 9057,60
+49 176 0406 9063,61
+43 664 24 9095,62
+49 176 0406 9040,63
+49 176 0406 9067,64
+49 176 0406 9082,65
+49 176 0406 9081,66
+30 698 624 504,67
+49 152 5459 9371,68
+49 172 998 0752,69
+41 768 38522,70
+30 697 961847,71
+420 604 38324,72
+49 171 392 0023,73
+40 768 55873,74
+40 747 75796,75
+33 6 3998 5439,76
+421 904 66812,77
+420 731 37882,78
+33 6 3998 5217,79
+353 20 918 1083,80
+49 152 2889 5456,81
+31 650 71427,82
+44 77 0090 0237,83
+41 779 48152,84
+420 776 36069,85
+41 774 95889,86
+420 511 05265,87
