node_id,node_index
cs07F,0
cs01M,1
cs08F,2
cs09F,3
ru10F_NT,4
ru01M,5
cs04M,6
cs05M,7
cs03M,8
cs06M,9
ru03M,10
ru05M,11
ru02M,12
vi01M,13
vi04M,14
vi02M,15
vi03F,16
ru04F,17
de03M,18
de01M,19
None_7,20
de04M,21
de05F,22
de02F,23
de06M,24
None_8,25
cs16M_NT,26
ru06F,27
sk01M_NT,28
sk02F_NT,29
cs10F_NT,30
cs13M_NT,31
en01M_NT,32
cs11M_NT,33
fr02M_NT,34
en02M_NT,35
cs15M_NT,36
fa01M_NT,37
fa02M_NT,38
fr01M_NT,39
cs12M_NT,40
el01M_NT,41
el02M_NT,42
ru09M_NT,43
ru07F_NT,44
ru08M_NT,45
ar01F_NT,46
ar02M_NT,47
de07M_NT,48
de08M_NT,49
cs17M,50
ro02M,51
cs18F,52
cs19M,53
en03M,54
None_1,55
de14M,56
de15M,57
cs14M_NT,58
el03M,59
de09M,60
de16M,61
en08M,62
de11M,63
en05M,64
el04F,65
fa03F,66
None_6,67
de10M,68
ro01M,69
None_4,70
None_3,71
ro03M,72
None_5,73
fr04M,74
de12M,75
None_2,76
fr03F,77
en10M,78
en09M,79
en07M,80
el05F,81
en06M,82
en04M,83
